,0
461,on
462,all
463,different
464,"levels,"
465,even
466,from
467,national
468,government
469,level
470,inventories
471,in
472,some
473,my
474,graduate
475,work
476,and
477,then
478,moving
479,towards
480,the
481,corporate
482,side
483,of
484,things.
485,um
486,after
487,i
488,graduated.
489,so
490,yeah
491,that's
492,my
493,background
494,um
495,we
496,do
497,inventories
498,for
499,companies
500,that
501,are
502,"either,"
503,they're
504,really
505,early
506,on
507,in
508,the
509,process
510,taking
511,their
512,first
513,steps.
514,they
515,maybe
516,they
517,don't
518,have
519,a
520,program
521,at
522,all
523,"yet,"
524,or
525,companies
526,that
527,have
528,been
529,doing
530,this
531,for
532,a
533,few
534,years
535,and
536,they
537,just
538,want
539,to
540,make
541,things
542,better.
543,they're
544,ready
545,to
546,expand
547,to
548,scope
549,"three,"
550,they're
551,ready
552,to
553,set
554,targets.
555,um
556,that
557,kind
558,of
559,thing
560,is
561,that
562,um
563,does
564,that
565,tend
566,to
567,be
568,very
569,tailored
570,for
571,the
572,customer?
573,like
574,how
575,does
576,how
577,does
578,the
579,project
580,begin?
581,"yeah,"
582,so
583,it
584,really
585,does
586,depend
587,on
588,the
589,customer's
590,needs.
591,um
592,like
593,i
594,"said,"
595,"if,"
596,if
597,we
598,just
599,take
600,an
601,example
602,of
603,some
604,"customer,"
605,a
606,customer
607,who
608,has
609,never
610,done
611,any
612,greenhouse
613,gas
614,accounting
615,before
616,and
617,they've
618,never
619,done
620,"that,"
621,this
622,is
623,the
624,first
625,year
626,inventory.
627,um
628,it
629,really
630,starts
631,by
632,understanding
633,their
634,business
635,and
636,understanding
637,which
638,sources
639,we
640,need
641,to
642,look
643,at.
644,so
645,that
646,boundary
647,setting
648,step
649,is
650,"um,"
651,is
652,one
653,of
654,the
655,trickier
656,parts
657,of
658,the
659,"process,"
660,but
661,definitely
662,one
663,of
664,the
665,more
666,important
667,"understanding,"
668,"okay,"
669,which
670,locations
671,do
672,we
673,need
674,to
675,look
676,at?
677,what
678,sources
679,do
680,we
681,need
682,to
683,be
684,looking
685,for?
686,some
687,some
688,clients
689,are
690,very
691,straightforward
692,in
693,which
694,"they,"
695,"okay,"
696,we
697,only
698,have
699,leased
700,office
701,space
702,in
703,buildings.
704,we
705,that's
706,"it,"
707,that's
708,"our,"
709,that's
710,our
711,physical
712,footprint.
713,we
714,don't
715,even
716,have
717,a
718,vehicle
719,fleet.
720,"um,"
721,so
722,those
723,are
724,a
725,lot
726,more
727,straightforward
728,than
729,maybe
730,a
731,hypothetical
732,manufacturing
733,client
734,where
735,they
736,have
737,manufacturing
738,"facilities,"
739,they
740,burn
741,a
742,lot
743,of
744,fuel.
745,maybe
746,they
747,have
748,a
749,vehicle
750,"fleet,"
751,maybe
752,they
753,have
754,"um,"
755,some
756,potential
757,fugitive
758,emissions
759,um
760,from
761,their
762,processes.
763,um
764,and
765,"then,"
766,so
767,really
768,it
769,starts
770,with
771,understanding
772,each
773,client
774,what
775,"their,"
776,what
777,their
778,specific
779,needs
780,are.
781,um
782,and
783,"then,"
784,and
785,then
786,we
787,move
788,into
789,kind
790,of
791,the
792,data
793,collection
794,"phase,"
795,which
796,as
797,i'm
798,sure
799,you're
800,aware
801,is
802,oftentimes
803,the
804,most
805,"challenging,"
806,especially
807,especially
808,for
809,clients
810,who
811,have
812,never
813,done
814,this
815,"before,"
816,collecting
817,data
818,is
819,"oftentimes,"
820,especially
821,the
822,first
823,time
824,"around,"
825,usually
826,always
827,a
828,pretty
829,big
830,headache
831,because
832,so
833,i
834,mean
835,some
836,clients
837,have
838,the
839,more
840,established
841,clients
842,"of,"
843,"okay,"
844,we
845,have
846,processes
847,in
848,place
849,when
850,we
851,pay
852,our
853,"bills,"
854,we
855,track
856,our
857,electricity
858,usage
859,as
860,well.
861,maybe
862,they
863,use
864,a
865,bill
866,pay
867,"service,"
868,like
869,energy
870,or
871,someone
872,like
873,"that,"
874,that
875,makes
876,things
877,a
878,lot
879,easier.
880,but
881,unfortunately
882,those
883,are
884,few
885,and
886,far
887,between
888,most
889,of
890,the
891,"time,"
892,it's
893,okay?
894,we
895,need
896,to
897,go
898,to
899,our
900,actual
901,"locations,"
902,go
903,back
904,in
905,time
906,for
907,the
908,years
909,that
910,we're
911,looking
912,to
913,do
914,this
915,inventory
916,for
917,actually
918,collect
919,the
920,data?
921,um
922,that
923,a
924,lot
925,of
926,times
927,and
928,that
929,requires
930,like
931,working
932,with
933,company
934,context
935,to
936,understand.
937,"okay,"
938,"who,"
939,who
940,has
941,access
942,to
943,this
944,"data,"
945,where
946,does
947,it
948,sit?
949,um
950,that's
951,often
952,times
953,the
954,most
955,time
956,consuming
957,part
958,of
959,the
960,process.
961,yeah.
962,and
963,do
964,you
965,find
966,that
967,the
968,data
969,is
970,consistent
971,"throughout,"
972,"like,"
973,let's
974,talk
975,about
976,manufacturing
977,and
978,like
979,support
980,chain
981,and
982,all
983,of
984,that.
985,um
986,like
987,what
988,i've
989,heard
990,"before,"
991,is
992,that
993,data
994,comes
995,in
996,all
997,different
998,formats.
999,is
1000,that
1001,something
1002,that
1003,you
1004,"experience,"
1005,do
1006,you
1007,guys
1008,have
1009,any
1010,sort
1011,of
1012,process
1013,around
1014,that
1015,cleaning
1016,it
1017,up
1018,and
1019,making
1020,it
1021,consistent?
1022,"yeah,"
1023,it
1024,definitely
1025,comes
1026,in
1027,all
1028,different
1029,formats
1030,depending
1031,on
1032,the
1033,location.
1034,if
1035,we're
1036,just
1037,talking
1038,about
1039,scope
1040,one
1041,and
1042,scope
1043,to
1044,data
1045,usually
1046,that's
1047,fairly
1048,simple
1049,enough
1050,to
1051,to
1052,bring
1053,"together,"
1054,although
1055,it's
1056,a
1057,little
1058,tedious
1059,because
1060,it
1061,normally
1062,comes
1063,in
1064,just
1065,"okay,"
1066,this
1067,is
1068,our
1069,electricity
1070,bill
1071,is
1072,their
1073,natural
1074,gas
1075,bill.
1076,we
1077,just
1078,have
1079,to
1080,kind
1081,of
1082,pull
1083,the
1084,units
1085,off
1086,that
1087,unless
1088,they
1089,have
1090,a
1091,centralized
1092,system
1093,which
1094,like
1095,i
1096,"said,"
1097,it's
1098,few
1099,and
1100,far
1101,between.
1102,if
1103,they
1104,do
1105,have
1106,a
1107,centralized
1108,system
1109,we
1110,can
1111,run
1112,an
1113,export
1114,and
1115,"say,"
1116,"okay,"
1117,what's
1118,the
1119,usage
1120,for
1121,all
1122,of
1123,these
1124,sites
1125,over
1126,the
1127,time
1128,period
1129,we're
1130,looking
1131,at
1132,but
1133,then
1134,thinking
1135,about
1136,supply
1137,changes
1138,in
1139,scope
1140,"three,"
1141,that's
1142,when
1143,it
1144,gets
1145,a
1146,lot
1147,more
1148,inconsistent.
1149,different
1150,companies
1151,have
1152,different
1153,ways
1154,of
1155,tracking
1156,or
1157,different
1158,levels
1159,of
1160,tracking
1161,um
1162,the
1163,data
1164,that
1165,we
1166,need
1167,a
1168,lot
1169,of
1170,the
1171,times
1172,for
1173,scope
1174,three
1175,assessments
1176,were
1177,really
1178,starting
1179,with
1180,kind
1181,of
1182,that
1183,spend
1184,based
1185,data
1186,as
1187,part
1188,of
1189,the
1190,initial
1191,screening
1192,to
1193,determine.
1194,okay.
1195,which
1196,which
1197,categories
1198,are
1199,most
1200,relevant
1201,material
1202,to
1203,that
1204,company?
1205,um
1206,and
1207,then
1208,when
1209,we
1210,want
1211,to
1212,move
1213,on
1214,to
1215,more
1216,more
1217,advanced
1218,calculations
1219,for
1220,things
1221,like
1222,purchase
1223,goods
1224,and
1225,"services,"
1226,things
1227,like
1228,downstream
1229,"transportation,"
1230,"distribution,"
1231,that's
1232,where
1233,the
1234,data
1235,is
1236,kind
1237,of
1238,all
1239,over
1240,the
1241,place
1242,depending
1243,on
1244,the
1245,client.
1246,"right,"
1247,okay.
1248,one
1249,client
1250,may
1251,"track,"
1252,we've
1253,"shipped,"
1254,we
1255,know
1256,we've
1257,shipped
1258,this
1259,money
1260,units
1261,to
1262,this
1263,location
1264,and
1265,it
1266,went
1267,by
1268,rail
1269,or
1270,for
1271,example
1272,like
1273,that
1274,but
1275,it's
1276,really
1277,inconsistent
1278,i
1279,think
1280,and
1281,i
1282,think
1283,part
1284,of
1285,the
1286,problem
1287,is
1288,that
1289,only
1290,only
1291,the
1292,companies
1293,that
1294,are
1295,like
1296,the
1297,furthest
1298,along
1299,have
1300,really
1301,established
1302,systems
1303,to
1304,track
1305,that
1306,kind
1307,of
1308,information.
1309,um
1310,these
1311,i
1312,mean
1313,and
1314,that's
1315,talking
1316,about
1317,a
1318,hypothetical
1319,client
1320,that
1321,makes
1322,like
1323,a
1324,physical
1325,product
1326,for
1327,scope
1328,three
1329,other
1330,clients.
1331,when
1332,you're
1333,thinking
1334,about
1335,scope
1336,three
1337,their
1338,biggest
1339,sources.
1340,or
1341,maybe
1342,it's
1343,maybe
1344,it's
1345,business
1346,"travel,"
1347,maybe
1348,it's
1349,just
1350,produce
1351,goods
1352,and
1353,"services,"
1354,employee
1355,commuting
1356,and
1357,business
1358,travel
1359,is
1360,one
1361,of
1362,the
1363,ones
1364,that
1365,a
1366,lot
1367,of
1368,clients
1369,like
1370,to
1371,start
1372,with
1373,just
1374,because
1375,the
1376,data
1377,is
1378,the
1379,most
1380,available
1381,for
1382,it.
1383,and
1384,they
1385,"can,"
1386,i
1387,think
1388,they
1389,can
1390,conceptually
1391,understand
1392,where
1393,the
1394,emissions
1395,come
1396,from
1397,when
1398,it
1399,comes
1400,to
1401,business
1402,travel.
1403,like
1404,they
1405,"understand,"
1406,"okay,"
1407,flying
1408,on
1409,a
1410,plane
1411,produces
1412,emissions.
1413,um
1414,some
1415,of
1416,the
1417,other
1418,categories
1419,are
1420,a
1421,little
1422,more
1423,nebulous
1424,and
1425,they
1426,require
1427,a
1428,little
1429,more
1430,explanation
1431,for
1432,them
1433,to
1434,get
1435,it
1436,to
1437,get
1438,why
1439,we're
1440,collecting
1441,it.
1442,um
1443,but
1444,"yeah,"
1445,it's
1446,definitely
1447,that's
1448,definitely
1449,an
1450,issue
1451,is
1452,okay
1453,all
1454,the
1455,different
1456,formats
1457,the
1458,data
1459,comes
1460,in
1461,and
1462,and
1463,it's
1464,really
1465,a
1466,fairly
1467,manual
1468,process
1469,to
1470,try
1471,to
1472,get
1473,it
1474,in
1475,the
1476,right
1477,format
1478,that
1479,we
1480,need.
1481,um
1482,in
1483,order
1484,to
1485,do
1486,the
1487,calculations
1488,on
1489,it.
1490,yeah.
1491,and
1492,you
1493,also
1494,"mentioned,"
1495,you
1496,mentioned
1497,like
1498,the
1499,business
1500,travel
1501,is
1502,easy
1503,for
1504,customers
1505,to
1506,understand
1507,what's
1508,a
1509,not
1510,easy
1511,want
1512,to
1513,understand
1514,and
1515,like
1516,what
1517,kind
1518,of
1519,do
1520,you
1521,have
1522,to
1523,share
1524,resources
1525,with
1526,them
1527,is
1528,it?
1529,like
1530,an
1531,education?
1532,"yeah,"
1533,sometimes
1534,like
1535,i
1536,think
1537,they
1538,call
1539,clients
1540,here
1541,scope
1542,three
1543,and
1544,they're
1545,like
1546,"okay,"
1547,we
1548,know
1549,we
1550,have
1551,to
1552,do
1553,scope
1554,three
1555,but
1556,a
1557,lot
1558,of
1559,times
1560,they
1561,don't
1562,know
1563,what
1564,the
1565,different
1566,scope
1567,three
1568,categories
1569,are.
1570,they
1571,also
1572,don't
1573,know
1574,where
1575,the
1576,boundaries
1577,begin
1578,and
1579,end
1580,for
1581,scope
1582,three.
1583,um
1584,i
1585,think
1586,you
1587,have
1588,sold
1589,products
1590,is
1591,definitely
1592,something
1593,that
1594,people
1595,struggle
1596,"with,"
1597,especially
1598,if
1599,they
1600,don't
1601,make
1602,like
1603,a
1604,physical
1605,"product,"
1606,right?
1607,if
1608,if
1609,they
1610,make
1611,a
1612,physical
1613,products
1614,a
1615,lot
1616,easier
1617,to
1618,"understand,"
1619,which
1620,is
1621,really
1622,what
1623,the
1624,protocol
1625,is
1626,designed
1627,to
1628,"like,"
1629,that's
1630,what
1631,is
1632,written
1633,around.
1634,it's
1635,like
1636,a
1637,hypothetical
1638,product
1639,that
1640,uses
1641,energy
1642,um
1643,some
1644,of
1645,those
1646,indirect
1647,emissions
1648,that
1649,are
1650,optional
1651,and
1652,then
1653,clients
1654,are
1655,like
1656,"okay,"
1657,do
1658,we
1659,have
1660,to
1661,account
1662,for?
1663,um
1664,i'm
1665,trying
1666,to
1667,think
1668,of
1669,a
1670,good
1671,example
1672,of
1673,a
1674,category
1675,they
1676,don't
1677,really
1678,"understand,"
1679,they
1680,don't
1681,understand
1682,um
1683,the
1684,fuel
1685,and
1686,energy
1687,related
1688,activities
1689,category
1690,because
1691,i
1692,need
1693,"to,"
1694,that's
1695,usually
1696,more
1697,of
1698,an
1699,education
1700,process.
1701,understanding
1702,"okay,"
1703,what
1704,transmission
1705,and
1706,distribution
1707,losses
1708,are
1709,why
1710,there
1711,are
1712,emissions
1713,upstream
1714,for
1715,when
1716,the
1717,fuel
1718,to
1719,produce
1720,electricity
1721,is
1722,"extracted,"
1723,that
1724,kind
1725,of
1726,thing.
1727,um
1728,purchase
1729,goods
1730,and
1731,services
1732,often
1733,sometimes
1734,takes
1735,a
1736,little
1737,bit
1738,of
1739,explanation.
1740,"okay,"
1741,the
1742,things
1743,that
1744,you
1745,buy
1746,have
1747,embodied
1748,emissions
1749,because
1750,they
1751,took
1752,emissions
1753,they
1754,took
1755,energy
1756,to
1757,produce.
1758,um
1759,so
1760,"yeah,"
1761,there's
1762,definitely
1763,an
1764,education
1765,component
1766,when
1767,it
1768,comes
1769,to
1770,each
1771,scope
1772,three
1773,category.
1774,and
1775,i
1776,think
1777,the
1778,big
1779,question
1780,is
1781,like
1782,okay
1783,which
1784,of
1785,these
1786,do
1787,we
1788,have
1789,to
1790,account
1791,for?
1792,and
1793,then
1794,like
1795,what's
1796,the
1797,limit?
1798,what's
1799,the
1800,boundary
1801,on
1802,these
1803,categories?
1804,how
1805,far
1806,down
1807,the
1808,chain
1809,do
1810,we
1811,need
1812,to
1813,go?
1814,um
1815,a
1816,lot
1817,of
1818,like
1819,i
1820,said
1821,it's
1822,easier
1823,with
1824,clients
1825,that
1826,make
1827,a
1828,physical
1829,product.
1830,i
1831,think
1832,that's
1833,it's
1834,a
1835,lot
1836,more
1837,straightforward
1838,clients.
1839,yeah
1840,with
1841,clients
1842,that
1843,are
1844,like
1845,um
1846,like
1847,financial
1848,services
1849,"clients,"
1850,they're
1851,really
1852,struggling
1853,with
1854,the
1855,especially
1856,because
1857,the
1858,methodology
1859,for
1860,category
1861,15
1862,investments
1863,category
1864,is
1865,there's
1866,still
1867,so
1868,many
1869,different
1870,methodologies
1871,out
1872,there
1873,for
1874,calculating
1875,that.
1876,um
1877,they're
1878,like
1879,okay
1880,what
1881,do
1882,we
1883,need
1884,to
1885,include?
1886,and
1887,i
1888,think
1889,there's
1890,some
1891,some
1892,things
1893,that
1894,are
1895,lost
1896,in
1897,translation
1898,when
1899,comparing
1900,the
1901,language
1902,of
1903,how
1904,financial
1905,services
1906,discuss
1907,their
1908,different
1909,different
1910,types
1911,of
1912,investments
1913,versus
1914,how
1915,the
1916,g.
1917,protocol
1918,discusses
1919,it.
1920,um
1921,so
1922,that's
1923,a
1924,little
1925,bit
1926,of
1927,a
1928,trance.
1929,like
1930,that's
1931,a
1932,that's
1933,a
1934,hard
1935,exercise
1936,into
1937,into
1938,their
1939,terminology
1940,right
1941,into
1942,language
1943,they
1944,understand.
1945,um
1946,yeah
1947,it's
1948,hard.
1949,yeah
1950,i've
1951,heard
1952,that
1953,a
1954,lot
1955,like
1956,everyone
1957,has
1958,their
1959,own
1960,version
1961,of
1962,that.
1963,it's
1964,like
1965,talking
1966,to
1967,marketing
1968,or
1969,talking
1970,to
1971,these
1972,people.
1973,it's
1974,like
1975,a
1976,lot
1977,of
1978,yeah
1979,especially
1980,because
1981,there's
1982,so
1983,many
1984,different
1985,data
1986,sources
1987,across
1988,the
1989,"company,"
1990,like
1991,so
1992,many
1993,different
1994,departments
1995,in
1996,a
1997,company
1998,need
1999,to
2000,be
2001,involved
2002,in
2003,a
2004,complete
2005,like
2006,if
2007,you're
2008,doing
2009,like
2010,a
2011,complete
2012,"scope,"
2013,three
2014,inventory?
2015,you
2016,understand?
2017,okay
2018,accounting
2019,is
2020,involved
2021,for
2022,the
2023,spend
2024,data
2025,but
2026,then
2027,facilities
2028,involved.
2029,okay
2030,do
2031,we
2032,have
2033,any
2034,like
2035,leased
2036,assets
2037,or
2038,where
2039,do
2040,we
2041,send
2042,"our,"
2043,where
2044,are
2045,all
2046,our
2047,products
2048,going?
2049,they
2050,take
2051,so
2052,many
2053,different
2054,sides
2055,of
2056,the
2057,company
2058,to
2059,do
2060,a
2061,full
2062,inventory
2063,that
2064,um
2065,getting
2066,everyone
2067,to
2068,talk
2069,in
2070,the
2071,same
2072,language
2073,is
2074,sometimes
2075,difficult
2076,but
2077,that's
2078,also
2079,part
2080,of
2081,like
2082,okay
2083,learning
2084,the
2085,company
2086,itself
2087,and
2088,understanding
2089,what
2090,what
2091,they
2092,do.
2093,yeah.
2094,um
2095,and
2096,you
2097,also
2098,mentioned
2099,that
2100,you
2101,do
2102,party
2103,auditing.
2104,is
2105,that
2106,yeah
2107,we
2108,do
2109,verification
2110,and
2111,assurance
2112,over
2113,over
2114,some
2115,clients.
2116,that
2117,was
2118,my
2119,we
2120,do
2121,we
2122,do
2123,some
2124,um
2125,prior
2126,with
2127,a
2128,firm
2129,called
2130,apex
2131,um
2132,who
2133,did
2134,exclusively
2135,we
2136,didn't
2137,do
2138,any
2139,consulting.
2140,we
2141,exclusively
2142,did
2143,verification
2144,and
2145,assurance.
2146,um
2147,so
2148,that's
2149,a
2150,that's
2151,a
2152,different
2153,kind
2154,of
2155,engagement
2156,where
2157,that's
2158,more
2159,we're
2160,following
2161,a
2162,pretty
2163,strict
2164,protocol
2165,in
2166,order
2167,to
2168,check
2169,their
2170,emissions
2171,"calculations,"
2172,check
2173,that
2174,background
2175,data.
2176,um
2177,that's
2178,really
2179,something
2180,that
2181,we
2182,see
2183,clients
2184,that
2185,are
2186,more
2187,that
2188,are
2189,further
2190,along
2191,in
2192,the
2193,process
2194,go
2195,for.
2196,maybe
2197,they've
2198,been
2199,doing
2200,their
2201,inventory
2202,for
2203,a
2204,few
2205,years.
2206,they
2207,feel
2208,pretty
2209,good
2210,about
2211,their
2212,methodology
2213,so
2214,then
2215,they
2216,were
2217,like
2218,okay
2219,we
2220,want
2221,third
2222,party
2223,assurance
2224,of
2225,it.
2226,and
2227,so
2228,it's
2229,we're
2230,checking
2231,sampling
2232,of
2233,the
2234,source
2235,data
2236,that
2237,they're
2238,using
2239,their
2240,calculation
2241,methods.
2242,the
2243,actual
2244,calculation
2245,numbers
2246,themselves.
2247,the
2248,roll
2249,ups
2250,that
2251,kind
2252,of
2253,thing.
2254,um
2255,yeah
2256,is
2257,that
2258,a
2259,fairly
2260,manual
2261,process
2262,like
2263,you
2264,know
2265,you
2266,want
2267,to
2268,check
2269,specific
2270,calculation
2271,and
2272,then
2273,you
2274,like
2275,go
2276,into
2277,your
2278,own
2279,software
2280,or
2281,like
2282,"yeah,"
2283,so
2284,it
2285,depends
2286,on
2287,the
2288,software
2289,that
2290,the
2291,client
2292,is
2293,using
2294,for
2295,their
2296,um
2297,for
2298,their
2299,inventory
2300,somewhere.
2301,just
2302,a
2303,lot.
2304,most
2305,are
2306,just
2307,doing
2308,it
2309,in
2310,excel
2311,still.
2312,um
2313,and
2314,so
2315,that
2316,is
2317,really
2318,just
2319,okay.
2320,we
2321,will
2322,check.
2323,i'll
2324,take
2325,they
2326,so
2327,they'll
2328,they'll
2329,have
2330,acclaimed
2331,emissions
2332,total.
2333,so
2334,i'll
2335,take
2336,like
2337,a
2338,subset.
2339,"okay,"
2340,they
2341,say
2342,for
2343,this
2344,"office,"
2345,this
2346,is
2347,the
2348,total
2349,amount
2350,of
2351,"emissions,"
2352,this
2353,is
2354,the
2355,total
2356,amount
2357,of
2358,electricity
2359,usage.
2360,i'll
2361,do
2362,my
2363,own
2364,calculations
2365,to
2366,"say,"
2367,"okay,"
2368,does
2369,that
2370,match
2371,up
2372,we
2373,have
2374,a
2375,materiality
2376,"threshold,"
2377,like
2378,plus
2379,or
2380,-5%
2381,of
2382,the
2383,whole
2384,scope
2385,that
2386,we
2387,work
2388,on?
2389,um
2390,the
2391,that's
2392,fairly
2393,manual.
2394,i
2395,"mean,"
2396,it
2397,depends
2398,if
2399,they're
2400,using
2401,like
2402,online
2403,carbon
2404,accounting
2405,platform.
2406,sometimes
2407,it
2408,can
2409,actually
2410,be
2411,a
2412,little
2413,more
2414,difficult
2415,to
2416,check
2417,those
2418,calculations
2419,because
2420,in
2421,excel
2422,they're
2423,very
2424,"visible,"
2425,right?
2426,you
2427,can
2428,click
2429,on
2430,a
2431,"cell,"
2432,see
2433,where
2434,things
2435,are
2436,coming
2437,from.
2438,um
2439,but
2440,they're
2441,a
2442,little
2443,more
2444,opaque
2445,on
2446,an
2447,online
2448,carbon
2449,couching
2450,platform.
2451,um
2452,but
2453,then
2454,the
2455,other
2456,part
2457,of
2458,what
2459,we
2460,do
2461,is
2462,we
2463,review
2464,a
2465,selection
2466,of
2467,like
2468,documentation
2469,for
2470,background
2471,data
2472,that
2473,was
2474,"like,"
2475,"okay,"
2476,you
2477,claim
2478,you
2479,used
2480,"100,000"
2481,kilowatt
2482,hours
2483,here.
2484,where
2485,can
2486,you
2487,prove
2488,that?
2489,can
2490,we
2491,see
2492,the
2493,invoices
2494,for
2495,that?
2496,or
2497,can
2498,we
2499,see
2500,a
2501,report
2502,"from,"
2503,your
2504,utility
2505,provider
2506,saying
2507,this
2508,is
2509,how
2510,much
2511,energy
2512,used.
2513,and
2514,so
2515,in
2516,that
2517,case
2518,is
2519,when
2520,they're
2521,using
2522,an
2523,online
2524,"platform,"
2525,it's
2526,usually
2527,a
2528,little
2529,easier
2530,because
2531,they
2532,have
2533,the
2534,opportunity
2535,to
2536,attach
2537,evidence
2538,to
2539,particular
2540,like
2541,items
2542,so
2543,we
2544,can
2545,go
2546,in
2547,so
2548,we
2549,have
2550,to
2551,request
2552,less
2553,from
2554,the
2555,actual
2556,client
2557,and
2558,sometimes
2559,if
2560,we're
2561,trying
2562,to
2563,get
2564,those
2565,electricity
2566,"bills,"
2567,it's
2568,back
2569,and
2570,forth
2571,with
2572,a
2573,particular
2574,office
2575,or
2576,with
2577,the
2578,utility
2579,provider
2580,that
2581,takes
2582,some
2583,time.
2584,but
2585,if
2586,they've
2587,uploaded
2588,that
2589,evidence
2590,to
2591,a
2592,"system,"
2593,"it's,"
2594,it's
2595,a
2596,little
2597,more
2598,straightforward
2599,for
2600,us
2601,to
2602,go
2603,and
2604,"say,"
2605,"okay,"
2606,we
2607,can
2608,see
2609,for
2610,january
2611,at
2612,this
2613,"location,"
2614,this
2615,is
2616,the
2617,electricity
2618,usage.
2619,right.
2620,yeah.
2621,and
2622,what
2623,are
2624,some
2625,of
2626,the
2627,common
2628,challenges
2629,in
2630,auditing
2631,um
2632,when
2633,you
2634,go
2635,back
2636,and
2637,"forth,"
2638,what
2639,what
2640,are
2641,those
2642,back
2643,and
2644,forth?
2645,um
2646,i
2647,think
2648,like
2649,i
2650,said
2651,a
2652,lot
2653,of
2654,it
2655,is
2656,"okay,"
2657,this
2658,is
2659,the
2660,data
2661,like
2662,this
2663,is
2664,the
2665,data
2666,we
