,timecode,transcript,polarity,neg,neu,pos,compound
11,00:01:24.82 - 00:01:26.79,We are a full service E.S.G. Uh consultancy firm.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
12,00:01:29.96 - 00:01:41.28,"So we do everything from the more qualitative report writing gap analysis, materiality assessments all the way to the more technical side of things which involves mainly carbon accounting which is what I do.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
13,00:01:41.29 - 00:01:52.34,Um I joined company-name-extracted after previously being at a firm that specialized in um third party assurance and verification.,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6249}",0.0,0.746,0.254,0.6249
14,00:01:52.35 - 00:02:01.84,"So primarily over carbon greenhouse gas emissions data, but we also touched on like water and waste and DNA metrics as well.","{'neg': 0.129, 'neu': 0.664, 'pos': 0.206, 'compound': 0.296}",0.129,0.664,0.206,0.296
15,00:02:01.85 - 00:02:11.76,Um but that really allowed me to get a a lot of exposure to a lot of different industries and how they all tackled their various unique issues when it came to carbon accounting.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
16,00:02:11.77 - 00:02:12.78,Prior to that.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
17,00:02:12.79 - 00:02:21.99,"Um My Master's degree, my Master's degree was actually from Colorado state in greenhouse gas, so very specific to the, to the work that I'm doing now.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
18,00:02:21.99 - 00:02:24.20,"So I'm pretty, I'm pretty lucky that this job exists.","{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.8676}",0.0,0.418,0.582,0.8676
19,00:02:24.21 - 00:02:51.92,"Um and then prior to that, prior to that I my undergraduate degree in environmental science and so really if you want to start the first thing I, the first time I ever really uh um got any experience with carbon accounting at all was doing research on permafrost carbon in Alaska and how that is affecting the carbon cycle and how permafrost thaw is exposing more carbon to be to be um to be released.","{'neg': 0.028, 'neu': 0.952, 'pos': 0.021, 'compound': -0.1372}",0.028,0.952,0.021,-0.1372
20,00:02:51.93 - 00:02:54.57,So kind of that was a backwards looking way.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
21,00:02:54.57 - 00:02:57,"But yeah, started from an environmental science perspective.","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4215}",0.0,0.714,0.286,0.4215
22,00:02:57.01 - 00:02:58.93,Um kind of moved into it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
23,00:02:58.94 - 00:03:11.11,"Um looking at inventories on all different levels, even from national government level inventories in some my graduate work and then moving towards the corporate side of things.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
24,00:03:11.12 - 00:03:12.37,Um after I graduated.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
25,00:03:12.38 - 00:03:22.79,"So yeah that's my background um we do inventories for companies that are either, they're really early on in the process taking their first steps.","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3597}",0.0,0.906,0.094,0.3597
26,00:03:22.79 - 00:03:28.61,"They maybe they don't have a program at all yet, or companies that have been doing this for a few years and they just want to make things better.","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.0,0.856,0.144,0.4939
27,00:03:28.61 - 00:03:31.70,"They're ready to expand to scope three, they're ready to set targets.","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.743}",0.0,0.552,0.448,0.743
28,00:03:31.71 - 00:03:39.08,Um That kind of thing is that um does that tend to be very tailored for the customer?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
29,00:03:39.08 - 00:03:41.54,Like how does how does the project begin?,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.0,0.737,0.263,0.3612
30,00:03:41.55 - 00:03:44.84,"Yeah, so it really does depend on the customer's needs.","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.0,0.804,0.196,0.296
31,00:03:44.85 - 00:03:57.14,"Um like I said, if, if we just take an example of some customer, a customer who has never done any greenhouse gas accounting before and they've never done that, this is the first year inventory.","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.3612}",0.0,0.93,0.07,0.3612
32,00:03:57.15 - 00:04:01.81,Um it really starts by understanding their business and understanding which sources we need to look at.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
33,00:04:01.81 - 00:04:12.55,"So that boundary setting step is um, is one of the trickier parts of the process, but definitely one of the more important understanding, okay, which locations do we need to look at?","{'neg': 0.034, 'neu': 0.738, 'pos': 0.227, 'compound': 0.8218}",0.034,0.738,0.227,0.8218
34,00:04:12.55 - 00:04:14.51,What sources do we need to be looking for?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
35,00:04:14.51 - 00:04:20.58,"Some some clients are very straightforward in which they, okay, we only have leased office space in buildings.","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}",0.0,0.899,0.101,0.2263
36,00:04:20.58 - 00:04:23.23,"We that's it, that's our, that's our physical footprint.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
37,00:04:23.23 - 00:04:24.99,We don't even have a vehicle fleet.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
38,00:04:25 - 00:04:34.30,"Um, so those are a lot more straightforward than maybe a hypothetical manufacturing client where they have manufacturing facilities, they burn a lot of fuel.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
39,00:04:34.31 - 00:04:42.08,"Maybe they have a vehicle fleet, maybe they have um, some potential fugitive emissions um from their processes.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
40,00:04:42.09 - 00:04:49.02,"Um and then, so really it starts with understanding each client what their, what their specific needs are.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
41,00:04:49.03 - 00:05:16.21,"Um and then, and then we move into kind of the data collection phase, which as I'm sure you're aware is oftentimes the most challenging, especially especially for clients who have never done this before, collecting data is oftentimes, especially the first time around, usually always a pretty big headache because so I mean some clients have the more established clients of, okay, we have processes in place when we pay our bills, we track our electricity usage as well.","{'neg': 0.017, 'neu': 0.849, 'pos': 0.134, 'compound': 0.8399}",0.017,0.849,0.134,0.8399
42,00:05:16.22 - 00:05:20.94,"Maybe they use a bill pay service, like energy or someone like that, That makes things a lot easier.","{'neg': 0.06, 'neu': 0.515, 'pos': 0.425, 'compound': 0.8176}",0.06,0.515,0.425,0.8176
43,00:05:20.95 - 00:05:24.37,"But unfortunately those are few and far between most of the time, it's okay?","{'neg': 0.178, 'neu': 0.688, 'pos': 0.135, 'compound': -0.1901}",0.178,0.688,0.135,-0.1901
44,00:05:24.38 - 00:05:32.11,"We need to go to our actual locations, go back in time for the years that we're looking to do this inventory for actually collect the data?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
45,00:05:32.12 - 00:05:37.50,Um That a lot of times and that requires like working with company context to understand.,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.0,0.848,0.152,0.3612
46,00:05:37.50 - 00:05:41.20,"Okay, who, who has access to this data, where does it sit?","{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.2263}",0.0,0.853,0.147,0.2263
47,00:05:41.21 - 00:05:45.35,Um That's often times the most time consuming part of the process.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
48,00:05:45.36 - 00:05:46.77,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
49,00:05:46.78 - 00:05:57.14,"And do you find that the data is consistent throughout, like, let's talk about manufacturing and like support chain and all of that.","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.7717}",0.0,0.722,0.278,0.7717
50,00:05:57.15 - 00:06:02.52,"Um Like what I've heard before, is that data comes in all different formats.","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.0,0.839,0.161,0.3612
51,00:06:02.53 - 00:06:09.50,"Is that something that you experience, Do you guys have any sort of process around that cleaning it up and making it consistent?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
52,00:06:09.51 - 00:06:13.11,"Yeah, it definitely comes in all different formats depending on the location.","{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.5994}",0.0,0.671,0.329,0.5994
53,00:06:13.12 - 00:06:25.99,"If we're just talking about scope one and scope to data usually that's fairly simple enough to to bring together, although it's a little tedious because it normally comes in just okay, this is our electricity bill is their natural gas bill.","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.5267}",0.0,0.899,0.101,0.5267
54,00:06:25.99 - 00:06:32.58,"We just have to kind of pull the units off that unless they have a centralized system which like I said, it's few and far between.","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}",0.0,0.902,0.098,0.3612
55,00:06:32.59 - 00:06:43.97,"If they do have a centralized system we can run an export and say, okay, what's the usage for all of these sites over the time period we're looking at but then thinking about supply changes in scope three, that's when it gets a lot more inconsistent.","{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.1154}",0.0,0.968,0.032,0.1154
56,00:06:43.98 - 00:06:57.98,Different companies have different ways of tracking or different levels of tracking um The data that we need a lot of the times for scope three assessments were really starting with kind of that spend based data as part of the initial screening to determine.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
57,00:06:57.98 - 00:06:58.17,Okay.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.0,0.0,1.0,0.2263
58,00:06:58.17 - 00:07:03.56,Which which categories are most relevant material to that company?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
59,00:07:03.57 - 00:07:17.87,"Um And then when we want to move on to more more advanced calculations for things like purchase goods and services, things like downstream transportation, distribution, that's where the data is kind of all over the place depending on the client.","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.7828}",0.0,0.807,0.193,0.7828
60,00:07:17.87 - 00:07:18.27,"Right, okay.","{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.0,0.345,0.655,0.2263
61,00:07:18.27 - 00:07:39.85,"One client may track, we've shipped, we know we've shipped this money units to this location and it went by rail or for example like that but it's really inconsistent I think and I think part of the problem is that only only the companies that are like the furthest along have really established systems to track that kind of information.","{'neg': 0.055, 'neu': 0.868, 'pos': 0.077, 'compound': 0.1154}",0.055,0.868,0.077,0.1154
62,00:07:39.86 - 00:07:49.08,Um These I mean and that's talking about a hypothetical client that makes like a physical product for scope three other clients.,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}",0.0,0.878,0.122,0.3612
63,00:07:49.08 - 00:07:51.65,When you're thinking about scope three their biggest sources.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
64,00:07:51.65 - 00:08:02.05,"Or maybe it's maybe it's business travel, maybe it's just produce goods and services, employee commuting and business travel is one of the ones that a lot of clients like to start with just because the data is the most available for it.","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.3612}",0.0,0.943,0.057,0.3612
65,00:08:02.06 - 00:08:08.03,"And they can, I think they can conceptually understand where the emissions come from when it comes to business travel.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
66,00:08:08.03 - 00:08:10.49,"Like they understand, okay, flying on a plane produces emissions.","{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.5267}",0.0,0.614,0.386,0.5267
67,00:08:10.78 - 00:08:17.61,Um some of the other categories are a little more nebulous and they require a little more explanation for them to get it to get why we're collecting it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
68,00:08:17.62 - 00:08:28.99,"Um But yeah, it's definitely that's definitely an issue is okay all the different formats the data comes in and and it's really a fairly manual process to try to get it in the right format that we need.","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.9052}",0.0,0.735,0.265,0.9052
69,00:08:29 - 00:08:31.62,Um in order to do the calculations on it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
70,00:08:31.63 - 00:08:32.58,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
71,00:08:32.59 - 00:08:45.74,"And you also mentioned, you mentioned like the business travel is easy for customers to understand what's a not easy want to understand and like what kind of do you have to share resources with them is it?","{'neg': 0.027, 'neu': 0.686, 'pos': 0.287, 'compound': 0.8952}",0.027,0.686,0.287,0.8952
72,00:08:45.74 - 00:08:47.22,Like an education?,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.0,0.444,0.556,0.3612
73,00:08:47.23 - 00:08:58.40,"Yeah, sometimes like I think they call clients here scope three and they're like okay, we know we have to do scope three but a lot of times they don't know what the different scope three categories are.","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.5499}",0.0,0.83,0.17,0.5499
74,00:08:58.41 - 00:09:02.16,They also don't know where the boundaries begin and end for scope three.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
75,00:09:02.17 - 00:09:09.06,"Um I think you have sold products is definitely something that people struggle with, especially if they don't make like a physical product, right?","{'neg': 0.169, 'neu': 0.728, 'pos': 0.103, 'compound': -0.1803}",0.169,0.728,0.103,-0.1803
76,00:09:09.06 - 00:09:17.10,"If if they make a physical products a lot easier to understand, which is really what the protocol is designed to like, that's what is written around.","{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.6486}",0.0,0.813,0.187,0.6486
77,00:09:17.11 - 00:09:25.75,"It's like a hypothetical product that uses energy um some of those indirect emissions that are optional and then clients are like okay, do we have to account for?","{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7906}",0.0,0.727,0.273,0.7906
78,00:09:27.10 - 00:09:38.63,"Um I'm trying to think of a good example of a category they don't really understand, they don't understand um the fuel and energy related activities category because I need to, that's usually more of an education process.","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.6124}",0.0,0.868,0.132,0.6124
79,00:09:38.63 - 00:09:48.90,"Understanding okay, what transmission and distribution losses are why there are emissions upstream for when the fuel to produce electricity is extracted, that kind of thing.","{'neg': 0.094, 'neu': 0.839, 'pos': 0.066, 'compound': -0.2023}",0.094,0.839,0.066,-0.2023
80,00:09:48.91 - 00:09:53.95,Um purchase goods and services often sometimes takes a little bit of explanation.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
81,00:09:53.96 - 00:10:00.98,"Okay, the things that you buy have embodied emissions because they took emissions they took energy to produce.","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}",0.0,0.8,0.2,0.4588
82,00:10:00.99 - 00:10:06.86,"Um So yeah, there's definitely an education component when it comes to each scope three category.","{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.6659}",0.0,0.72,0.28,0.6659
83,00:10:06.87 - 00:10:11.64,And I think the big question is like okay which of these do we have to account for?,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5267}",0.0,0.773,0.227,0.5267
84,00:10:11.65 - 00:10:12.99,And then like what's the limit?,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.0,0.667,0.333,0.3612
85,00:10:13 - 00:10:14.81,What's the boundary on these categories?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
86,00:10:14.81 - 00:10:17.28,How far down the chain do we need to go?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
87,00:10:17.29 - 00:10:22.74,Um A lot of like I said it's easier with clients that make a physical product.,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.6486}",0.0,0.675,0.325,0.6486
88,00:10:22.75 - 00:10:25.04,I think that's it's a lot more straightforward clients.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
89,00:10:25.05 - 00:10:39.40,"Yeah with clients that are like um like financial services clients, they're really struggling with the especially because the methodology for category 15 investments category is there's still so many different methodologies out there for calculating that.","{'neg': 0.071, 'neu': 0.762, 'pos': 0.166, 'compound': 0.4779}",0.071,0.762,0.166,0.4779
90,00:10:39.41 - 00:10:42.73,Um They're like okay what do we need to include?,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5267}",0.0,0.645,0.355,0.5267
91,00:10:42.73 - 00:10:54.88,And I think there's some some things that are lost in translation when comparing the language of how financial services discuss their different different types of investments versus how the G.,"{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.3182}",0.073,0.927,0.0,-0.3182
92,00:10:54.88 - 00:10:56.13,Protocol discusses it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
93,00:10:56.14 - 00:10:58.08,Um So that's a little bit of a trance.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
94,00:10:58.09 - 00:11:06.39,Like that's a that's a hard exercise into into their terminology right into language they understand.,"{'neg': 0.088, 'neu': 0.755, 'pos': 0.157, 'compound': 0.2732}",0.088,0.755,0.157,0.2732
95,00:11:06.40 - 00:11:08.48,Um Yeah it's hard.,"{'neg': 0.25, 'neu': 0.357, 'pos': 0.393, 'compound': 0.2023}",0.25,0.357,0.393,0.2023
96,00:11:08.69 - 00:11:12.41,Yeah I've heard that a lot like everyone has their own version of that.,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.5719}",0.0,0.701,0.299,0.5719
97,00:11:12.41 - 00:11:15.26,It's like talking to marketing or talking to these people.,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.0,0.783,0.217,0.3612
98,00:11:15.27 - 00:11:27.52,"It's like a lot of Yeah especially because there's so many different data sources across the company, like so many different departments in a company need to be involved in a complete like if you're doing like a complete scope, three inventory?","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8807}",0.0,0.73,0.27,0.8807
99,00:11:27.53 - 00:11:28.85,You understand?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
100,00:11:28.85 - 00:11:33.65,Okay accounting is involved for the spend data but then facilities involved.,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.1154}",0.0,0.884,0.116,0.1154
101,00:11:33.66 - 00:11:38.45,"Okay do we have any like leased assets or where do we send our, where are all our products going?","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.6249}",0.0,0.736,0.264,0.6249
102,00:11:38.46 - 00:11:53.83,They take so many different sides of the company to do a full inventory That um getting everyone to talk in the same language is sometimes difficult but that's also part of like okay learning the company itself and understanding what what they do.,"{'neg': 0.037, 'neu': 0.845, 'pos': 0.118, 'compound': 0.5927}",0.037,0.845,0.118,0.5927
103,00:11:54.93 - 00:11:55.88,Yeah.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.0,0.0,1.0,0.296
104,00:11:55.89 - 00:12:01.03,Um And you also mentioned that you do party auditing.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.0,0.769,0.231,0.4019
105,00:12:01.04 - 00:12:04.92,Is that yeah we do verification and assurance over over some clients.,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.5574}",0.0,0.685,0.315,0.5574
106,00:12:04.92 - 00:12:14.27,That was my we do we do some um prior with a firm called Apex um Who did exclusively we didn't do any consulting.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
107,00:12:14.27 - 00:12:16.52,We exclusively did verification and assurance.,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}",0.0,0.676,0.324,0.34
108,00:12:16.53 - 00:12:30.64,"Um So that's a that's a different kind of engagement where that's more we're following a pretty strict protocol in order to check their emissions calculations, check that background data.","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.7328}",0.0,0.802,0.198,0.7328
109,00:12:30.65 - 00:12:37.69,Um That's really something that we see clients that are more that are further along in the process go for.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
110,00:12:37.69 - 00:12:40.10,Maybe they've been doing their inventory for a few years.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
111,00:12:40.11 - 00:12:45.73,They feel pretty good about their methodology so then they were like okay we want third party assurance of it.,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.9313}",0.0,0.435,0.565,0.9313
112,00:12:45.73 - 00:12:52.03,And so it's we're checking sampling of the source data that they're using their calculation methods.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
113,00:12:52.03 - 00:12:53.70,The actual calculation numbers themselves.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
114,00:12:53.70 - 00:12:55.19,The roll ups that kind of thing.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
115,00:12:55.20 - 00:13:14.59,"Um Yeah is that a fairly manual process like you know you want to check specific calculation and then you like go into your own software or like Yeah, so it depends on the software that the client is using for their um For their inventory somewhere.","{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.8807}",0.0,0.752,0.248,0.8807
116,00:13:14.59 - 00:13:15.16,Just a lot.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
117,00:13:15.16 - 00:13:17.06,Most are just doing it in Excel still.,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}",0.0,0.7,0.3,0.4588
118,00:13:17.07 - 00:13:19.32,Um and so that is really just okay.,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.2911}",0.0,0.763,0.237,0.2911
119,00:13:19.32 - 00:13:20.66,We will check.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
120,00:13:20.67 - 00:13:25.01,I'll take they so they'll they'll have acclaimed emissions total.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
121,00:13:25.02 - 00:13:26.47,So I'll take like a subset.,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.4144}",0.0,0.591,0.409,0.4144
122,00:13:26.47 - 00:13:32.16,"Okay, they say for this office, this is the total amount of emissions, this is the total amount of electricity usage.","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2263}",0.0,0.913,0.087,0.2263
123,00:13:32.16 - 00:13:40.46,"I'll do my own calculations to say, Okay, does that match up we have a materiality threshold, like plus or -5% of the whole scope that we work on?","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}",0.0,0.855,0.145,0.5267
124,00:13:40.90 - 00:13:43.25,Um The that's fairly manual.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
125,00:13:43.25 - 00:13:46.32,"I mean, it depends if they're using like online carbon accounting platform.","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.0,0.8,0.2,0.3612
